slope_deg,ndvi,rainfall_mm,dist_road_m,dist_stream_m,soil_clay_pct,risk_score,risk_class
21.784258,0.544741,249.33847,180.0,1800.4999,35.804348,0.199835,Low
22.25752,0.47910476,249.04724,210.0,1806.2391,35.804348,0.22412825,Low
17.619692,0.43319005,248.75603,240.0,1803.9956,35.804348,0.21498138,Low
12.694704,0.39391568,248.46481,270.0,1802.2485,35.804348,0.2020607,Low
9.052241,0.416336,248.1736,300.0,1800.9998,35.804348,0.17457348,Low
5.164552,0.43252078,247.88239,330.0,1800.25,35.804348,0.14796305,Low
8.055024,0.44385543,247.59122,360.0,1800.0,35.804348,0.15838793,Low
6.3441086,0.46380574,247.3,390.0,1800.0,35.804348,0.14184353,Low
8.884174,0.47140095,247.00882,420.0,1800.0,35.804348,0.15173632,Low
12.072639,0.5225545,296.66092,84.85281,3270.1377,35.804348,0.27461058,Medium
14.567915,0.52883476,296.63638,67.08204,3240.139,35.12989,0.27577588,Medium
16.730368,0.5127109,296.61188,42.426407,3210.1401,35.133343,0.29343978,Medium
16.261526,0.45684972,296.58734,30.0,3180.1416,35.132675,0.31110343,Medium
13.981276,0.39909822,296.5628,0.0,3150.1428,35.132008,0.4159579,Medium
12.295191,0.40656102,296.5383,30.0,3120.1443,35.13134,0.30760697,Medium
16.40921,0.4192564,296.51376,30.0,3090.1455,35.13067,0.32462144,Medium
17.07328,0.46416205,296.48926,30.0,3060.147,35.13,0.3125366,Medium
14.142039,0.44888216,296.46472,0.0,3030.1484,35.129333,0.39935538,Medium
13.10994,0.44114998,296.44025,0.0,3000.15,35.128666,0.3965666,Medium
13.344853,0.4841145,296.4157,30.0,2970.1516,35.127995,0.28599912,Medium
13.327461,0.5474339,296.39117,60.0,2940.153,35.127327,0.26242346,Medium
12.599676,0.5551657,296.36667,84.85281,2910.1545,35.12666,0.25541648,Medium
12.453246,0.5343249,296.34216,108.16654,2880.1562,35.12599,0.2615172,Medium
18.541698,0.576648,296.31766,134.16408,2850.158,35.12532,0.27844244,Medium
27.427567,0.591826,296.29312,161.55495,2820.1597,35.124653,0.3193689,Medium
33.275463,0.52572143,296.26862,189.73666,2790.1614,35.123985,0.3724995,Medium
34.05661,0.47612408,296.2441,216.33308,2760.163,35.123314,0.39353615,Medium
36.06545,0.46986982,296.2196,241.86774,2730.1648,35.122646,0.40605256,Medium
45.610573,0.48271042,296.19507,268.32816,2700.1667,35.12198,0.45130807,Medium
49.581898,0.50634843,296.1706,295.46573,2670.1685,35.12131,0.46377262,Medium
52.444595,0.5095494,296.14606,323.1099,2640.1704,35.12064,0.47750363,Medium
44.556007,0.52534074,296.12155,300.0,2610.1724,35.119972,0.43086314,Medium
19.967382,0.54299253,296.09705,270.0,2580.1743,35.119305,0.29647854,Medium
9.258596,0.5374397,296.07254,240.0,2550.1765,35.118637,0.24250607,Low
10.242484,0.5142478,296.04803,210.0,2520.1785,35.117966,0.2556218,Medium
10.208286,0.47817546,296.02356,180.0,2490.1807,35.1173,0.26788622,Medium
13.780726,0.44784454,295.99902,150.0,2460.1829,35.11663,0.29701686,Medium
21.164703,0.4482748,295.97455,120.0,2430.185,35.115963,0.33548173,Medium
28.979853,0.48940337,295.95004,90.0,2400.1875,35.11529,0.3622755,Medium
28.919123,0.5156192,295.9255,60.0,2370.19,35.114624,0.35339347,Medium
25.492708,0.54407126,295.90103,30.0,2340.1924,35.113956,0.32723108,Medium
25.989958,0.5092728,295.87653,0.0,2310.1948,35.11329,0.43866298,Medium
18.433056,0.46525002,295.85202,30.0,2280.1973,35.112617,0.31743404,Medium
10.115063,0.45178157,295.82755,60.0,2250.2,35.11195,0.2770272,Medium
10.459314,0.4415489,295.80304,84.85281,2220.2026,35.111282,0.2818051,Medium
11.833555,0.4695871,295.77856,108.16654,2190.2056,35.11061,0.27899027,Medium
9.50561,0.44935718,295.75406,134.16408,2160.2083,35.109943,0.27357355,Medium
1.8755604,0.4307762,295.72955,161.55495,2130.2112,35.109276,0.23998147,Low
6.951163,0.41705868,295.70508,152.97058,2100.2144,35.10861,0.27115154,Medium
6.4862523,0.31460643,295.68057,123.69317,2070.2173,35.107937,0.30412433,Medium
